,id,name,rating,time,servings,yield,course0,cuisine0,Piquant,Sour,Salty,Sweet,Bitter,Meaty,cuisine1,holiday0,holiday1,holiday2,course1,cuisine2,course2,course3,holiday3,cuisine3,course4,holiday4,Cajun & Creole,Spanish,Hawaiian,Kid-Friendly,Indian,English,Greek,Thai,Southwestern,Italian,Mediterranean,Irish,Southern & Soul Food,Hungarian,American,Mexican,Swedish,Moroccan,Barbecue,German,Asian,Portuguese,Vietnamese,Japanese,Cuban,French,Chinese,Breads,Soups,Afternoon Tea,Cocktails,Beverages,Lunch and Snacks,Main Dishes,Appetizers,Breakfast and Brunch,Desserts,Condiments and Sauces,Side Dishes,Salads,Game Day,Christmas,Unnamed: 69,4th of July,New Year,Passover,Sommer Cocktail Party,Fall,Winter,Chinese New Year,Valentine's Day,Thanksgiving,Thanksgivukkah,Spring,Summer,Hanukkah,Sunday Lunch,Easter,St. Patrick's Day,Halloween,number_of_ingredients,taste_sum,parsed,failed,ingredient0,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient0qty,ingredient0type,ingredient1qty,ingredient1type,ingredient2qty,ingredient2type,ingredient3qty,ingredient3type,ingredient4qty,ingredient4type,ingredient5qty,ingredient5type,ingredient6qty,ingredient6type,ingredient7qty,ingredient7type,ingredient8qty,ingredient8type,ingredient9qty,ingredient9type,ingredient10qty,ingredient10type,ingredient11qty,ingredient11type,ingredient12qty,ingredient12type,ingredient13qty,ingredient13type,ingredient14qty,ingredient14type,ingredient15qty,ingredient15type,ingredient16qty,ingredient16type,ingredient17qty,ingredient17type,ingredient18qty,ingredient18type,ingredient19qty,ingredient19type,amount_error
9937,Roast-Chicken-With-Rosemary_garlic-Paste-Epicurious_1,Roast Chicken with Rosemary-Garlic Paste,5,,6.0,Makes 6 servings,Main Dishes,American,0.3333,0.8333,0.1667,0.1667,0.6667,0.3333,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2.5,True,0,chopped fresh rosemary,chopped fresh rosemary,juniper berries,cloves garlic,black peppercorns,coarse sea salt,olive oil,chicken stock,,,,,,,,,,,,,59.1475,vol,59.1475,vol,5.0,whole,2.0,whole,2.4645,vol,3.69675,vol,19.716,vol,0.0,wt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
9946,Chicken-Fajitas-1216663,Chicken Fajitas,4,2400.0,6.0,6,Main Dishes,Mexican,0.6667,0.8333,0.8333,0.1667,0.6667,0.3333,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3.5,True,0,dried oregano,ground cumin,garlic powder,onion powder,salt,chili powder,cayenne pepper,chicken breasts,sweet red pepper,green pepper,yellow pepper,large onion,lime,flour tortillas,,,,,,,12.322500000000002,vol,9.858,vol,7.3935,vol,7.3935,vol,7.3935,vol,4.929,vol,1.23225,vol,226.8,wt,1.0,whole,1.0,wt,1.0,whole,2.0,whole,1.0,whole,6.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
9949,Ginger-Crab-Cakes-Allrecipes,Ginger Crab Cakes,5,1200.0,144.0,12 crab cakes,Main Dishes,American,0.3333,0.3333,0.8333,0.3333,1.0,0.8333,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3.6665,True,0,crabmeat,mayonnaise,minced onion,chopped cilantro,lime juice,minced fresh ginger,hot peppers,salt,black pepper,eggs,dry bread crumbs,vegetable oil,,,,,,,,,396.90000000000003,wt,118.295,vol,59.1475,vol,14.787,vol,14.787,vol,9.858,vol,1.23225,vol,1.23225,vol,1.23225,vol,2.0,whole,177.4425,vol,59.1475,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
9957,Shrimp-in-Chipotle-Sauce-Recipe-_-Camarones-en-Salsa-de-Chile-Chipotle-1066766,Shrimp in Chipotle Sauce Recipe / Camarones en Salsa de Chile Chipotle,4,2700.0,4.0,4 servings,Main Dishes,Mexican,0.8333,0.5,0.3333,0.1667,0.3333,0.3333,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.4999,True,0,shrimp,lime juice,salt and pepper,salt and pepper,olive oil,white onion,pepper,tomatoes,cloves garlic,dried thyme,,,,,,,,,,,453.6,wt,14.787,vol,0.0,whole,0.0,whole,29.574,vol,78.86333333333333,vol,42.525000000000006,wt,283.5,wt,1.0,whole,1.23225,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
9958,Salt-Cod-Fritters-512675,Salt Cod Fritters,5,4800.0,40.0,40 fritters,Main Dishes,Kid-Friendly,0.0,0.6667,0.1667,0.1667,0.1667,0.1667,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.3335,True,0,salt cod,potatoes,olive oil,finely chopped onion,cloves garlic,chopped flat-leaf parsley,green olives,eggs,vegetable oil,,,,,,,,,,,,567.0,wt,453.6,wt,14.787,vol,1.0,whole,2.0,whole,59.1475,vol,118.295,vol,1.0,whole,0.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
9976,Rustic-Italian-Frittata-with-Sausage_-Red-Pepper-and-Basil-1320945,"Rustic Italian Frittata with Sausage, Red Pepper and Basil",4,2400.0,4.0,,Main Dishes,Italian,0.1667,0.6667,0.5,0.1667,0.3333,0.1667,,,,,Breakfast and Brunch,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2.0001,True,0,large eggs,pecorino cheese,salt and freshly ground pepper to taste,salt and freshly ground pepper to taste,olive oil,italian sausage,yellow onion,red bell pepper,tomato sauce,mozzarella cheese,fresh basil,,,,,,,,,,10.0,whole,118.295,vol,0.0,wt,0.0,wt,29.574,vol,453.6,wt,1.0,whole,1.0,whole,236.59,vol,170.10000000000002,wt,0.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
9977,Spring-vegetable-penne-with-lemon-cream-sauce-353119,Spring Vegetable Penne with Lemon-Cream Sauce,4,1800.0,4.0,Serves 4 (serving size: about 1 3/4 cups),Main Dishes,American,0.0,0.6667,0.5,0.5,0.5,0.3333,,Spring,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,2.5,True,0,extra-virgin olive oil,chopped onion,mushrooms,fresh thyme,"garlic cloves, minced",all-purpose flour,chicken fat,half-and-half,green peas,parmesan cheese,lemon rind,fresh lemon juice,salt,black pepper,penne,asparagus,,,,,14.787,vol,177.4425,vol,0.0,wt,4.929,vol,1.0,whole,14.787,vol,118.295,vol,118.295,vol,177.4425,vol,44.361000000000004,vol,2.4645,vol,14.787,vol,2.4645,vol,2.4645,vol,226.8,wt,453.6,wt,0.0,,0.0,,0.0,,0.0,,0
9979,Easy-Herb-Roasted-Chicken-484599,Easy Herb Roasted Chicken,4,,8.0,yield:makes 6-8 servings,Main Dishes,American,0.0,0.1667,0.3333,0.1667,0.5,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.1667,True,0,chicken,yellow onion,cloves garlic,fresh parsley,olive oil,kosher salt,freshly ground pepper,garlic powder,paprika,,,,,,,,,,,,2721.6000000000004,wt,1.0,whole,4.0,whole,1.0,whole,22.180500000000002,vol,4.929,vol,2.4645,vol,4.929,vol,2.4645,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
9987,Asian-BBQ-Chicken-Once-Upon-A-Chef-200018,Asian BBQ Chicken,5,1800.0,4.0,4,Main Dishes,Asian,0.6667,0.1667,0.8333,0.1667,0.6667,0.8333,Barbecue,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3.3334,True,0,dark brown sugar,soy sauce,fresh lime juice,vegetable oil,asian sesame oil,curry powder,"garlic cloves, minced",fresh ginger,cayenne pepper,chicken thighs,scallion greens,,,,,,,,,,59.1475,vol,59.1475,vol,44.361000000000004,vol,7.3935,vol,2.4645,vol,3.69675,vol,3.0,whole,2.4645,vol,2.4645,vol,8.0,whole,0.0,wt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
9991,Southwest-Fried-Oysters-My-Recipes,Southwest Fried Oysters,4,,6.0,Makes 4 to 6 servings,Main Dishes,American,0.5,0.5,0.6667,0.6667,1.0,0.3333,,,,,Appetizers,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3.6667,True,0,oysters,buttermilk,all-purpose flour,yellow cornmeal,paprika,garlic powder,dried oregano,chili powder,red pepper,dry mustard,salt,ground black pepper,vegetable oil,,,,,,,,946.36,vol,473.18,vol,236.59,vol,118.295,vol,14.787,vol,7.3935,vol,7.3935,vol,7.3935,vol,7.3935,vol,2.4645,vol,2.4645,vol,2.4645,vol,0.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
9998,Mexican-chicken-and-rice-345543,Mexican Chicken and Rice,5,2100.0,4.0,,Main Dishes,Mexican,0.8333,0.8333,0.5,0.1667,0.8333,0.5,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3.6666,True,0,olive oil,medium onion,celery,cauliflower,green chilies,chicken breasts,sea salt,chili powder,chili powder,chili powder,avocado,cheese,salsa,,,,,,,,59.148,vol,1.0,whole,236.59,vol,1.0,whole,113.4,wt,453.6,wt,4.929,vol,0.0,wt,0.0,wt,0.0,wt,1.0,whole,0.0,wt,0.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
10005,_Breaded_-Redfish-with-Shrimp_-Fennel_-and-Orange-Salad-559953,"""Breaded"" Redfish with Shrimp, Fennel, and Orange Salad",4,3000.0,4.0,Makes 4 servings,Main Dishes,American,0.3333,0.8333,0.8333,0.6667,0.3333,0.6667,Cajun & Creole,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3.6666,True,0,brioche,fish fillets,salt,fresh tarragon,butter,orange juice,rice vinegar,egg yolks,salt,cayenne pepper,fresh lemon juice,unsalted butter,orange,orange,orange,herbs,,,,,1.0,whole,0.0,wt,0.0,whole,14.787,vol,29.574,vol,236.59,vol,236.59,vol,0.0,wt,4.929,vol,0.0,whole,14.787,vol,236.59,vol,0.0,whole,0.0,whole,0.0,whole,0.0,whole,0.0,,0.0,,0.0,,0.0,,0
10014,Baked-Italian-Chicken-and-Tomato-Basil-Eggplant-Roll-Pasta-1237551,Baked Italian Chicken and Tomato Basil Eggplant Roll Pasta,4,4500.0,6.0,6,Main Dishes,Italian,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.0002,True,0,pasta,basil,eggplant,olive oil,salt to taste,salt to taste,chicken,"garlic cloves, minced",cherry tomatoes,tomato paste,red wine,milk,herbs,red pepper flakes,parmesan cheese,whole milk,mozzarella cheese,fresh parsley,fresh parsley,,340.20000000000005,wt,59.1475,vol,2.0,whole,59.148,vol,0.0,whole,0.0,whole,453.6,wt,0.0,wt,354.885,vol,59.1475,vol,236.59,vol,236.59,vol,59.1475,vol,4.929,vol,59.1475,vol,226.8,wt,113.4,wt,0.0,whole,0.0,whole,0.0,,0
10015,Polenta-lasagna-350172,Polenta Lasagna,5,4200.0,6.0,6 servings,Main Dishes,Italian,0.0,0.5,0.3333,0.5,1.0,0.6667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3.0,True,0,extra-virgin olive oil,baby spinach,salt,cremini mushrooms,polenta,goat cheese,red pepper,artichoke hearts,mozzarella cheese,tomatoes,,,,,,,,,,,44.361000000000004,vol,170.10000000000002,wt,0.0,whole,226.8,wt,510.3,wt,283.5,wt,1.0,whole,177.4425,vol,226.8,wt,411.07500000000005,wt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
10027,Baked-Penne-with-Spinach_-Roasted-Peppers-and-Bacon-472284,"Baked Penne with Spinach, Roasted Peppers and Bacon",5,,9.0,yield:8 to 10 ,Main Dishes,American,0.0,0.1667,1.0,0.1667,0.6667,0.8333,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2.8334,True,0,red pepper,milk,butter,all-purpose flour,freshly ground pepper to taste,penne,spinach,red pepper,cheese,bacon,parmesan cheese,freshly ground black pepper,kosher salt,,,,,,,,453.6,wt,473.18,vol,59.148,vol,59.1475,vol,0.0,wt,453.6,wt,0.0,wt,177.4425,vol,354.885,vol,8.0,whole,354.885,vol,0.0,wt,0.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
10036,Salmon-in-a-Bengali-Mustard-Sauce-533058,Salmon in a Bengali Mustard Sauce,5,,3.0,yield:	2 to 3 people,Main Dishes,Indian,0.6667,0.3333,0.6667,0.1667,0.5,0.8333,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3.1667,True,0,salmon fillet,salt,ground turmeric,cayenne,mustard,cayenne pepper,ground turmeric,salt,extra-virgin olive oil,yellow mustard seeds,cumin seeds,fennel seeds,green chilies,,,,,,,,340.20000000000005,wt,1.23225,vol,1.23225,vol,1.23225,vol,14.787,vol,2.4645,vol,1.23225,vol,1.23225,vol,29.574,vol,1.23225,vol,1.23225,vol,1.23225,vol,0.0,wt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
10042,Gratineed-Gnocchi-With-Spinach-And-Ricotta-Epicurious,Gratineed Gnocchi with Spinach and Ricotta,4,1200.0,4.0,Makes 4 servings,Main Dishes,Italian,0.3333,0.1667,0.8333,0.0,0.1667,0.3333,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.8333,True,0,potatoes,heavy cream,all-purpose flour,salt,black pepper,ground nutmeg,baby spinach,skim milk,mozzarella,,,,,,,,,,,,0.0,wt,157.72666666666666,vol,2.4645,vol,2.4645,vol,2.4645,vol,0.616125,vol,0.0,wt,118.295,vol,157.72666666666666,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
10043,Hoppin_-John-With-Mustard-Greens-My-Recipes,Hoppin' John with Mustard Greens,4,2400.0,2.0,6 servings (serving size: about 1 1/3 cups),Main Dishes,American,0.0,1.0,0.6667,0.3333,0.8333,0.3333,Southern & Soul Food,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3.1666,True,0,water,dijon mustard,salt,dried thyme,olive oil,chopped onion,long-grain rice,ham,"garlic cloves, minced",black-eyed peas,mustard greens,,,,,,,,,,473.18,vol,29.574,vol,4.929,vol,1.23225,vol,29.574,vol,828.065,vol,236.59,vol,157.72666666666666,vol,4.0,whole,946.36,vol,946.36,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
10047,Tuscan-Garlic-Chicken-1180438,Tuscan Garlic Chicken,4,3300.0,6.0,serves 6,Main Dishes,Italian,0.1667,0.6667,0.8333,0.1667,0.8333,0.8333,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3.5,True,0,chicken,flour,salt,black pepper,herbs,extra virgin olive oil,fettuccine,chopped garlic,red pepper,dry white wine,spinach leaves,heavy cream,parmesan cheese,,,,,,,,6.0,whole,118.295,vol,14.787,vol,9.858,vol,9.858,vol,73.935,vol,453.6,wt,14.787,vol,1.0,whole,118.295,vol,226.8,wt,354.84000000000003,vol,236.59,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
10053,Smothered-Chicken-With-Lemon-Mashed-Potatoes-My-Recipes,Smothered Chicken With Lemon Mashed Potatoes,4,,4.0,Makes 4 servings,Main Dishes,American,0.0,1.0,0.5,0.5,1.0,1.0,Southern & Soul Food,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4.0,True,0,chicken breasts,salt,pepper,breadcrumbs,mushrooms,olive oil,cloves garlic,olive oil,lemon,margarine,chicken broth,fresh lemon juice,basil,dried oregano,all-purpose flour,water,,,,,4.0,whole,3.69675,vol,2.4645,vol,118.295,vol,0.0,wt,4.929,vol,18.0,whole,29.574,vol,0.0,whole,29.574,vol,0.0,wt,14.787,vol,2.4645,vol,1.23225,vol,44.361000000000004,vol,59.1475,vol,0.0,,0.0,,0.0,,0.0,,0
10054,Mushroom-marsala-pasta-with-artichokes-305500,Mushroom Marsala Pasta with Artichokes,5,3300.0,6.0,serves 4 to 6,Main Dishes,Italian,0.0,0.5,0.1667,0.5,0.1667,0.3333,,Spring,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1.6667,True,0,olive oil,finely chopped onion,cremini mushrooms,kosher salt,kosher salt,marsala wine,pasta,artichoke hearts,parmesan,cream,chopped flat-leaf parsley,black pepper,,,,,,,,,44.361000000000004,vol,1.0,whole,453.6,wt,4.929,vol,4.929,vol,236.59,vol,453.6,wt,226.8,wt,177.4425,vol,118.295,vol,118.295,vol,4.929,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
10063,Rosemary-Chicken-Kabobs-MyRecipes-264784,Rosemary Chicken Kabobs,4,2400.0,4.0,Makes 4 servings,Main Dishes,American,0.0,1.0,0.3333,0.8333,0.8333,0.3333,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3.3332,True,0,red wine vinegar,olive oil,cloves garlic,fresh rosemary,salt,dijon mustard,chicken breasts,green bell pepper,cherry tomatoes,mushrooms,,,,,,,,,,,78.86333333333333,vol,78.86333333333333,vol,4.0,whole,14.787,vol,4.929,vol,4.929,vol,453.6,wt,0.0,wt,473.18,vol,0.0,wt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
10066,Mexican-Chicken-Casserole-678382,Mexican Chicken Casserole,4,5100.0,8.0,serves about 8,Main Dishes,Mexican,0.8333,0.8333,0.6667,0.1667,0.6667,0.3333,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3.5,True,0,chicken breasts,corn tortillas,mushrooms,chicken,milk,salsa,mushrooms,chopped onion,"garlic cloves, minced",oregano,black pepper,green chiles,cheddar cheese,,,,,,,,226.8,wt,0.0,vol,1.0,whole,1.0,whole,236.59,vol,59.1475,vol,226.8,wt,0.0,wt,4.0,whole,29.574,vol,3.69675,vol,0.0,wt,453.6,wt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
10072,Creamy-White-Chicken-and-Avocado-Enchiladas-1315317,Creamy White Chicken and Avocado Enchiladas,4,3300.0,6.0,serves 6,Main Dishes,Mexican,0.8333,0.1667,0.3333,0.1667,0.5,0.8333,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.8333,True,0,oil,onion,jalapeños,chicken,chicken broth,heavy cream,paprika,salt,butter,flour,sour cream,monterey jack cheese,avocado,corn tortillas,,,,,,,14.787,vol,1.0,whole,2.0,whole,118.295,vol,473.18,vol,236.59,vol,4.929,vol,2.4645,vol,59.148,vol,59.1475,vol,236.59,vol,118.295,vol,3.0,whole,8.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
10074,Portobello-Pesto-Pizza-BB,Portobello Pesto Pizza,4,2400.0,4.0,yield:one 12-inch pizza,Main Dishes,Italian,0.0,0.1667,0.8333,0.3333,1.0,0.6667,,,,,Lunch and Snacks,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3.0,True,0,warm water,instant yeast,water,olive oil,bread flour,salt,unsalted butter,cremini mushrooms,red onion,pesto,cheese,parmesan cheese,,,,,,,,,118.295,vol,1.23225,vol,59.1475,vol,29.574,vol,946.36,vol,2.4645,vol,14.787,vol,453.6,wt,0.25,whole,236.59,vol,226.8,wt,118.295,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
10085,Lasagna_Stuffed-Mushrooms-AllRecipes,Lasagna-Stuffed Mushrooms,4,3000.0,2.0,2 servings,Main Dishes,Italian,0.0,0.1667,0.1667,0.1667,0.1667,0.5,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.1667999999999998,True,0,lean beef,cottage cheese,eggs,finely chopped onion,chopped fresh parsley,salt and pepper to taste,salt and pepper to taste,pasta,mushrooms,mozzarella cheese,,,,,,,,,,,113.4,wt,118.295,vol,1.0,whole,14.787,vol,14.787,vol,0.0,whole,0.0,whole,59.1475,vol,6.0,whole,59.1475,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
10090,Johnsonville-Italian-Sausage-Lasagna-546240,Johnsonville® Italian Sausage Lasagna,5,4860.0,6.0,6 servings,Main Dishes,Italian,0.0,0.5,0.8333,0.6667,0.6667,0.8333,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3.5,True,0,italian sausage,noodles,"medium onion, chopped","garlic cloves, minced",marinara sauce,dried oregano,ricotta cheese,eggs,parmesan cheese,spinach,mozzarella cheese,,,,,,,,,,453.6,wt,12.0,whole,1.0,whole,2.0,whole,680.4000000000001,wt,4.929,vol,425.25,wt,1.0,whole,118.295,vol,473.18,vol,473.18,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
10102,Pasta-With-Three_herb-Pesto-My-Recipes,Pasta with Three-Herb Pesto,4,900.0,6.0,6 servings (serving size: 1 1/3 cups),Main Dishes,Italian,0.0,1.0,0.3333,0.1667,0.6667,0.5,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.6667,True,0,fresh basil leaves,fresh parsley,fresh oregano,pine nuts,parmesan cheese,salt,cloves garlic,olive oil,penne,,,,,,,,,,,,709.77,vol,118.295,vol,59.1475,vol,29.574,vol,14.787,vol,1.23225,vol,4.0,whole,29.574,vol,1892.72,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
